timestamp,totalCirculatingUSD
2022-03-19,80638895127
2022-03-20,80759114699
2022-03-21,80803658691
2022-03-22,80742375395
2022-03-23,80813890280
2022-03-24,80617717555
2022-03-25,80896455674
2022-03-26,81269316709
2022-03-27,81265468997
2022-03-28,81097512900
2022-03-29,81163679752
2022-03-30,81643742495
2022-03-31,81880807976
2022-04-01,82111240613
2022-04-02,82128838509
2022-04-03,82243436567
2022-04-04,82445457405
2022-04-05,82498155772
2022-04-06,82484761060
2022-04-07,82403860025
2022-04-08,82527394584
2022-04-09,82652739236
2022-04-10,82660624852
2022-04-11,82791093566
2022-04-12,82713451635
2022-04-13,83007878594
2022-04-14,82866510722
2022-04-15,82897672411
2022-04-16,82809170080
2022-04-17,82877296154
2022-04-18,82885160812
2022-04-19,82857636762
2022-04-20,82759364479
2022-04-21,83021462214
2022-04-22,83171627191
2022-04-23,83194560472
2022-04-24,83282886230
2022-04-25,83239619633
2022-04-26,83153178313
2022-04-27,83256289983
2022-04-28,83141483801
2022-04-29,83110772708
2022-04-30,83330923492
2022-05-01,83697405339
2022-05-02,83382381193
2022-05-03,83190931320
2022-05-04,83331768886
2022-05-05,83158740796
2022-05-06,83302209355
2022-05-07,83348085462
2022-05-08,83491763869
2022-05-09,83246318700
2022-05-10,83173635948
2022-05-11,82690895711
2022-05-12,79485744715
2022-05-13,79485744715
2022-05-14,76734593140
2022-05-15,75698673625
2022-05-16,75711756793
2022-05-17,75711756793
2022-05-18,74158117512
2022-05-19,74167175832
2022-05-20,74181204620
2022-05-21,73255957132
2022-05-22,73221020878
2022-05-23,73235565369
2022-05-24,73228235215
2022-05-25,73228235215
2022-05-26,73227243445
2022-05-27,73232594340
2022-05-28,72499738788
2022-05-29,72504086805
2022-05-30,72535836322
2022-05-31,72524933627
2022-06-01,72526132987
2022-06-02,72600188405
2022-06-03,72528608901
2022-06-04,72530075149
2022-06-05,72519092421
2022-06-06,72522497401
2022-06-07,72410957660
2022-06-08,72410957660
2022-06-09,72425196492
2022-06-10,72492367357
2022-06-11,72499354970
2022-06-12,72466892931
2022-06-13,72291494924
2022-06-14,71503808611
2022-06-15,70822047451
2022-06-16,69967166460
2022-06-17,69174473605
2022-06-18,68176552326
2022-06-19,68130091450
2022-06-20,67863629322
2022-06-21,67447252726
2022-06-22,66939363765
2022-06-23,66962042573
2022-06-24,66948998007
2022-06-25,66841870663
2022-06-26,66847066311
2022-06-27,66856688413
2022-06-28,66824445663
2022-06-29,66791194933
2022-06-30,66463748713
2022-07-01,66279904942
2022-07-02,66633563590
2022-07-03,66637843079
2022-07-04,66494818098
2022-07-05,66451169903
2022-07-06,66451655940
2022-07-07,66446520644
2022-07-08,66405902703
2022-07-09,66471001674
2022-07-10,66432311434
2022-07-11,66465384770
2022-07-12,66465384770
2022-07-13,66426423702
2022-07-14,66355380035
2022-07-15,66317932148
2022-07-16,66317932148
2022-07-17,66349450274
2022-07-18,66356009511
2022-07-19,66333085532
2022-07-20,66320333624
2022-07-21,66323651600
2022-07-22,66286857515
2022-07-23,66292926498
2022-07-24,66292365071
2022-07-25,66296026642
2022-07-26,66292001560
2022-07-27,66310813115
2022-07-28,66285540449
2022-07-29,66382124061
2022-07-30,66507130316
2022-07-31,66651173201
2022-08-01,66651613631
2022-08-02,66759079429
2022-08-03,66871041771
2022-08-04,66870806792
2022-08-05,66936675543
2022-08-06,66929805958
2022-08-07,66929805958
2022-08-08,66917977720
2022-08-09,66917222982
2022-08-10,66963249874
2022-08-11,67208611295
2022-08-12,67359349669
2022-08-13,67504940563
2022-08-14,67744701896
2022-08-15,67429026810
2022-08-16,67581103763
2022-08-17,67569730696
2022-08-18,67551075729
2022-08-19,67550349634
